ID;Kategorie / Období;Autor;Název díla;Druh;Žánr;Počet stran
1;Světová a česká lit. do konce 18. století ;Homér ;Ilias ;poezie;hrdinský epos;552
2;Světová a česká lit. do konce 18. století ;Homér ;Odyssea ;poezie;hrdinský epos;488
3;Světová a česká lit. do konce 18. století ;Ezop ;Bajky ;próza;bajka;105
4;Světová a česká lit. do konce 18. století ;Sofoklés ;Král Oidipus ;drama;tragédie;84
5;Světová a česká lit. do konce 18. století ;Ivan Olbracht ;Biblické příběhy ;próza;;120
6;Světová a česká lit. do konce 18. století ;William Shakespeare ;Romeo a Julie;drama;tragédie;160
7;Světová a česká lit. do konce 18. století ;William Shakespeare ;Zkrocení zlé ženy ;drama;komedie;163
8;Světová a česká lit. do konce 18. století ;Carlo Goldoni ;Sluha dvou pánů ;drama;komedie;152
9;Světová a česká lit. do konce 18. století ;Molière ;Lakomec ;drama;komedie;120
10;Světová a česká lit. do konce 18. století ;Johann Wolfgang Goethe ;Utrpení mladého Werthera ;próza;romantický román;152
11;Světová a česká lit. do konce 18. století ;Johann Wolfgang Goethe ;Král duchů ;poezie;lyricko-epická balada;2
12;Světová a česká lit. 19. století ;Alexandr Sergejevič Puškin ;Evžen Oněgin;poezie;veršovaný román;240
13;Světová a česká lit. 19. století ;Victor Hugo ;Chrám Matky Boží v Paříži ;próza;historický román;535
14;Světová a česká lit. 19. století ;Honoré de Balzac ;Otec Goriot ;próza;realistický román;280
15;Světová a česká lit. 19. století ;Émile Zola ;Zabiják ;próza;román;464
16;Světová a česká lit. 19. století ;Edgar Allan Poe ;Povídky ;próza;román;335
17;Světová a česká lit. 19. století ;Edgar Allan Poe ;Havran ;poezie;lyricko-epická skladba;89
18;Světová a česká lit. 19. století ;Charles Baudelaire ;Květy zla ;poezie;;280
19;Světová a česká lit. 19. století ;Karel Hynek Mácha ;Máj;poezie;lyricko-epická skladba;64
20;Světová a česká lit. 19. století ;Karel Jaromír Erben ;Kytice ;poezie;balada;160
21;Světová a česká lit. 19. století ;Karel Havlíček Borovský ;Tyrolské elegie ;poezie;lyricko-epická skladba;26
22;Světová a česká lit. 19. století ;Karel Havlíček Borovský ;Král Lávra ;poezie;lyricko-epická skladba;36
23;Světová a česká lit. 19. století ;Karel Havlíček Borovský ;Křest svatého Vladimíra ;poezie;lyricko-epická skladba;39
24;Světová a česká lit. 19. století ;Božena Němcová ;Divá Bára;próza;realistická povídka;47
25;Světová a česká lit. 19. století ;František Ladislav Čelakovský ;Ohlas písní českých ;poezie;;90
26;Světová a česká lit. 19. století ;Jan Neruda ;Povídky malostranské ;próza;povídka;268
27;Světová a česká lit. 19. století ;Alois Jirásek ;F. L. Věk ;próza;historický román;220
28;Světová a česká lit. 19. století ;Josef Kajetán Tyl ;Strakonický dudák ;drama;komedie;109
29;Světová a česká lit. 19. století ;A. a V. Mrštíkové ;Maryša ;drama;tragédie;112
30;Světová a česká lit. 19. století ;Nikolaj Vasiljevič Gogol ;Revizor ;drama;komedie;96
31;Světová a česká lit. 19. století ;Oscar Wilde ;Obraz Doriana Graye ;próza;psychologický román;272
32;Světová a česká lit. 19. století ;Arthur Conan Doyle ;Pes baskervillský ;próza;detektivní román;194
33;Světová literatura 20. a 21. století ;Guillaume Apollinaire ;Pásmo ;poezie;lyricko-epická skladba;24
34;Světová literatura 20. a 21. století ;Allen Ginsberg ;Kvílení ;poezie;;68
35;Světová literatura 20. a 21. století ;Jack Kerouac ;Na cestě ;próza;autobiografický román;320
36;Světová literatura 20. a 21. století ;Erich Maria Remarque ;Na západní frontě klid ;próza;protiválečný román;184
37;Světová literatura 20. a 21. století ;Romain Rolland ;Petr a Lucie ;próza;protiválečná novela;96
38;Světová literatura 20. a 21. století ;Ernest Hemingway ;Stařec a moře ;próza;novela;113
39;Světová literatura 20. a 21. století ;Francis Scott Fitzgerald ;Velký Gatsby ;próza;psychologický román;155
40;Světová literatura 20. a 21. století ;Antoine de Saint-Exupéry ;Malý princ ;próza;filozofická pohádka;95
41;Světová literatura 20. a 21. století ;J. R. R. Tolkien ;Hobit ;próza;fantasy;245
42;Světová literatura 20. a 21. století ;George Orwell ;Farma zvířat ;próza;antiutopický román;104
43;Světová literatura 20. a 21. století ;George Orwell ;1984;próza;román;316
44;Světová literatura 20. a 21. století ;Ray Bradbury ;Marťanská kronika ;próza;povídka;285
45;Světová literatura 20. a 21. století ;Arthur C. Clarke ;Devět miliard božích jmen ;próza;sci-fi povídka;330
46;Světová literatura 20. a 21. století ;Andy Weir ;Marťan ;próza;sci-fi román;344
47;Světová literatura 20. a 21. století ;Anna Franková ;Deník Anny Frankové;próza;autobiografie;264 
48;Světová literatura 20. a 21. století ;Alberto Moravia ;Horalka ;próza;protiválečný román;281
49;Světová literatura 20. a 21. století ;William Styron ;Sophiina volba;próza;psychologický román;515
50;Světová literatura 20. a 21. století ;Joseph Heller ;Hlava XXII; próza;román;536
51;Světová literatura 20. a 21. století ;Alexandr Isajevič Solženicyn ;Jeden den Ivana Děnisoviče ;próza;novela;144
52;Světová literatura 20. a 21. století ;Umberto Eco ;Jméno růže ;próza;filozofický román;543
53;Světová literatura 20. a 21. století ;Agatha Christie ;Vražda v Orient-expresu ;próza;román;251
54;Světová literatura 20. a 21. století ;Friedrich Dürrenmatt ;Návštěva staré dámy ;drama;tragická komedie;112
55;Světová literatura 20. a 21. století ;George Bernard Shaw ;Pygmalion ;drama;komedie;144
56;Světová literatura 20. a 21. století ;Samuel Beckett ;Čekání na Godota ;drama;tragická komedie;132
57;Světová literatura 20. a 21. století ;Andrzej Sapkowski ;Zaklínač (1. díl) ;próza;fantasy povídka;342
58;Česká literatura 20. a 21. století ;Viktor Dyk ;Krysař ;próza;novela;104
59;Česká literatura 20. a 21. století ;Karel Hlaváček ;Pozdě k ránu ;poezie;;152
60;Česká literatura 20. a 21. století ;František Gellner ;Po nás ať přijde potopa;poezie;;81
61;Česká literatura 20. a 21. století ;Petr Bezruč ;Slezské písně;poezie;sociální balada;176
62;Česká literatura 20. a 21. století ;Vítězslav Nezval ;Edison ;poezie;lyricko-epická skladba;55
63;Česká literatura 20. a 21. století ;Jiří Wolker ;Těžká hodina ;poezie;sociální balada;51
64;Česká literatura 20. a 21. století ;Jaroslav Seifert ;Maminka ;poezie;;75
65;Česká literatura 20. a 21. století ;Vladislav Vančura ;Rozmarné léto ;próza;novela;152
66;Česká literatura 20. a 21. století ;Jaroslav Hašek ;Osudy dobrého vojáka Švejka za světové války (1. díl);próza;humoristický román;193
67;Česká literatura 20. a 21. století ;Karel Poláček ;Bylo nás pět ;próza;humoristický román;146
68;Česká literatura 20. a 21. století ;Karel Čapek ;Válka s mloky ;próza;sci-fi román;230
69;Česká literatura 20. a 21. století ;Ivan Olbracht ;Nikola Šuhaj loupežník ;próza;románová balada;156
70;Česká literatura 20. a 21. století ;Franz Kafka ;Proměna ;próza;novela;93
71;Česká literatura 20. a 21. století ;Franz Kafka ;Proces ;próza;psychologický román;218
72;Česká literatura 20. a 21. století ;Zdeněk Jirotka ;Saturnin ;próza;humoristický román;208
73;Česká literatura 20. a 21. století ;Jan Drda ;Němá barikáda ;próza;povídková sbírka;120
74;Česká literatura 20. a 21. století ;Jan Otčenášek ;Romeo, Julie a tma ;próza;novela;152
75;Česká literatura 20. a 21. století ;Arnošt Lustig ;Modlitba pro Kateřinu Horovitzovou ;próza;psychologická novela;115
76;Česká literatura 20. a 21. století ;Bohumil Hrabal ;Ostře sledované vlaky ;próza;válečná novela;80
077;Česká literatura 20. a 21. století ;Ota Pavel ;Smrt krásných srnců;próza;autobiografické povídky;78
78;Česká literatura 20. a 21. století ;Ladislav Fuks ;Spalovač mrtvol ;próza;novela;137
79;Česká literatura 20. a 21. století ;Václav Kaplický ;Kladivo na čarodějnice ;próza;historický román;335
80;Česká literatura 20. a 21. století ;Michal Viewegh ;Báječná léta pod psa ;próza;autobiografický román;215
81;Česká literatura 20. a 21. století ;Irena Dousková ;Hrdý Budžes ;próza;satirický román;166;
82;Česká literatura 20. a 21. století ;Alena Mornštajnová ;Hana;próza;historický román;306
83;Česká literatura 20. a 21. století ;Kateřina Tučková ;Žítkovské bohyně;próza;historický román;456
84;Česká literatura 20. a 21. století ;Radek John ;Memento ;próza;psychologický román;310
85;Česká literatura 20. a 21. století ;Josef Škvorecký ;Prima sezóna ;próza;autobiografický román;233
86;Česká literatura 20. a 21. století ;Josef Škvorecký ;Zbabělci;próza;autobiografický román;456
87;Česká literatura 20. a 21. století ;Milan Kundera ;Žert ;próza;román;366
88;Česká literatura 20. a 21. století ;Karel Čapek ;R.U.R. ;drama;sci-fi;128
89;Česká literatura 20. a 21. století ;Karel Čapek ;Matka ;drama;protiválečné;104
90;Česká literatura 20. a 21. století ;Karel Čapek ;Bílá nemoc ;drama;tragédie;128
91;Česká literatura 20. a 21. století ;Vítězslav Nezval ;Manon Lescaut ;drama;;175
92;Česká literatura 20. a 21. století ;L. Smoljak, Z. Svěrák ;České nebe ;drama;komedie;74
93;Česká literatura 20. a 21. století ;L. Smoljak, Z. Svěrák ;Vyšetřování ztráty třídní knihy ;drama;komedie;56
94;Česká literatura 20. a 21. století ;Václav Havel ;Audience ;drama;tragická komedie;116
